,Brands,Letter_sizing,Bust
0,Amazon,XS,32.5
1,Amazon,S,34.5
2,Amazon,M,36.5
3,Amazon,L,39.25
4,Amazon,XL,42.25
5,Abercrombie & Fitch,XS,32.5
6,Abercrombie & Fitch,S,34.5
7,Abercrombie & Fitch,M,36.5
8,Abercrombie & Fitch,L,38.0
9,Abercrombie & Fitch,XL,41.0
10,Abercrombie & Fitch,XL,45.0
11,Abercrombie & Fitch,XXL,45.0
12,Abercrombie & Fitch,XXL,49.0
13,Addidas,XXS,29.3
14,Addidas,XS,31.3
15,Addidas,S,33.7
16,Addidas,M,36.0
17,Addidas,L,38.6
18,Addidas,XL,41.5
19,Addidas,XXL,44.9
20,Aerpostale,XXS,30.5
21,Aerpostale,XS,31.5
22,Aerpostale,XS,32.5
23,Aerpostale,S,33.5
24,Aerpostale,S,34.5
25,Aerpostale,M,35.5
26,Aerpostale,M,36.5
27,Aerpostale,L,38.0
28,Aerpostale,L,39.5
29,Aerpostale,XL,41.0
30,Aerpostale,XL,42.5
31,Aerpostale,XXL,44.0
32,Alloy,XS,31.5
33,Alloy,XXL,45.0
34,Alloy,XXXL,49.0
35,Alloy,XS,25.0
36,Alloy,S,27.0
37,Alloy,S,28.0
38,Alloy,M,29.0
39,Alloy,M,30.0
40,Alloy,L,31.0
41,Alloy,L,32.0
42,Alloy,XL,40.0
43,Alloy,XL,40.0
44,Alloy,XXL,37.0
45,American Eagle,XXS,31.0
46,American Eagle,XS,32.5
47,American Eagle,S,34.5
48,American Eagle,M,36.5
49,American Eagle Outfitters,XXL,47.0
50,American Eagle,L,39.25
51,American Eagle,XL,42.5
52,American Eagle,XXL,47.0
53,Ann Taylor,XXS,31.0
54,Ann Taylor,XS,32.5
55,Ann Taylor,XXL,45.5
56,Loft,XXS,31.5
57,Loft,XS,33.0
58,Loft,S,35.0
59,Loft,M,37.0
60,Loft,L,39.75
61,Loft,XL,42.0
62,Loft,XXL,44.0
63,Anthropologie,XXS,32.0
64,Anthropologie,XS,33.5
65,Anthropologie,S,35.5
66,Anthropologie,M,37.5
67,Anthropologie,L,40.25
68,Anthropologie,XL,42.5
69,ASOS,XS,31.0
70,ASOS,XS,32.0
71,ASOS,S,33.0
72,ASOS,S,35.0
73,ASOS,M,37.0
74,ASOS,M,39.0
75,ASOS,L,41.0
76,ASOS,L,44.0
77,ASOS,XL,45.5
78,Banana Republic,XS,32.0
79,Banana Republic,S,34.5
80,Banana Republic,M,36.5
81,Banana Republic,L,39.25
82,Banana Republic,XL,41.5
83,Calvin Klein,XS,33.5
84,Calvin Klein,S,35.5
85,Calvin Klein,M,37.5
86,Calvin Klein,L,39.5
87,Calvin Klein,XL,43.0
88,Carhartt,XS,33.0
89,Carhartt,S,34.5
90,Carhartt,M,36.5
91,Carhartt,L,39.25
92,Carhartt,XL,42.5
93,Carhartt,XXL,46.0
94,Express,XS,32.0
95,Express,S,34.0
96,Express,M,36.25
97,Express,L,39.5
98,Express,XL,44.25
99,Forever 21,XXS,31.0
100,Forever 21,XS,32.0
101,Forever 21,S,34.5
102,Forever 21,M,35.5
103,Forever 21,L,36.5
104,Forever 21,XL,39.5
105,Forever 21,XXL,43.5
106,francesca's,XXS,30.5
107,francesca's,XS,32.5
108,francesca's,S,34.0
109,francesca's,S,35.0
110,francesca's,M,36.0
111,francesca's,M,37.0
112,francesca's,L,38.0
113,francesca's,L,39.0
114,francesca's,XL,40.0
115,Free People,XS,33.5
116,Free People,S,35.5
117,Free People,M,37.5
118,Free People,L,39.5
119,Free People,XL,41.0
120,Gap,XXS,31.5
121,Gap,XS,33.0
122,Gap,S,35.0
123,Gap,M,37.0
124,Gap,L,39.75
125,Gap,XL,43.0
126,Gap,XXL,46.75
127,Guess,XS,34.25
128,Guess,S,36.25
129,Guess,M,38.25
130,Guess,L,40.75
131,Guess,XL,43.5
132,Guess,XXL,45.0
133,Hanes,XS,32.75
134,Hanes,S,34.75
135,Hanes,M,36.75
136,Hanes,L,39.75
137,Hanes,XL,42.75
138,Hanes,XS,31.5
139,Hanes,S,33.5
140,Hanes,M,35.5
141,Hanes,L,38.0
142,Hanes,XL,40.75
143,Hanes,2XL,43.0
144,Hanes,3XL,45.5
145,H&M,XS,30.7
146,H&M,S,33.85
147,H&M,M,37.0
148,H&M,L,40.25
149,H&M,XL,44.375
150,Hollister,XS,32.0
151,Hollister,S,34.5
152,Hollister,M,36.5
153,Hollister,L,38.0
154,Hollister,XL,39.5
155,Hollister,XL,43.0
156,JCPenney's Liz Claiborne,XS,33.0
157,JCPenney's Liz Claiborne,S,35.0
158,JCPenney's Liz Claiborne,M,37.0
159,JCPenney's Liz Claiborne,L,39.75
160,JCPenney's Liz Claiborne,XL,43.0
161,JCPenney's Liz Claiborne,XXL,46.0
162,J.Crew,XXXS,30.5
163,J.Crew,XXS,31.5
164,J.Crew,XS,33.0
165,J.Crew,S,35.0
166,J.Crew,M,37.0
167,J.Crew,L,39.75
168,J.Crew,XL,42.0
169,J.Crew,XXL,43.5
170,Jessica Simpson,XS,34.75
171,Jessica Simpson,S,36.75
172,Jessica Simpson,M,38.75
173,Jessica Simpson,L,41.25
174,Jessica Simpson,XL,44.25
175,Kohl's Daisy Fuentes,XS,33.0
176,Kohl's Daisy Fuentes,S,35.0
177,Kohl's Daisy Fuentes,M,37.0
178,Kohl's Daisy Fuentes,L,39.75
179,Kohl's Daisy Fuentes,XL,43.0
180,Levi's,XS,31.5
181,Levi's,M,35.5
182,Levi's,L,38.5
183,Levi's,XL,42.0
184,L.L.Bean,XS,31.5
185,L.L.Bean,S,33.5
186,L.L.Bean,M,35.5
187,L.L.Bean,L,37.75
188,L.L.Bean,XL,40.75
189,Lucky,XXS,30.75
190,Lucky,XS,32.75
191,Lucky,S,34.75
192,Lucky,M,36.75
193,Lucky,L,38.75
194,Lucky,XL,40.75
195,lululemon athletica,XS,32.0
196,lululemon athletica,S,34.0
197,lululemon athletica,M,36.0
198,lululemon athletica,L,38.0
199,lululemon athletica,XL,40.0
200,Macy's Charter Club,XS,32.5
201,Macy's Charter Club,S,34.5
202,Macy's Charter Club,M,36.5
203,Macy's Charter Club,L,39.25
204,Macy's Charter Club,XL,42.25
205,Nike,XS,31.0
206,Nike,S,34.0
207,Nike,M,38.0
208,Nike,L,41.0
209,Nike,XL,44.5
210,Nike,XXL,46.5
211,Old Navy,XS,32.0
212,Old Navy,S,34.5
213,Old Navy,M,36.5
214,Old Navy,L,39.5
215,Old Navy,XL,43.75
216,Pacsun,XS,33.5
217,Pacsun,S,35.5
218,Pacsun,M,37.5
219,Pacsun,L,40.25
220,Pacsun,XL,42.5
221,Puma,XS,32.0
222,Puma,S,34.0
223,Puma,M,36.0
224,Puma,L,38.0
225,Puma,XL,40.0
226,Ralph Lauren,XS,33.5
227,Ralph Lauren,S,36.0
228,Ralph Lauren,M,39.0
229,Ralph Lauren,L,43.5
230,Ralph Lauren,XL,47.0
231,Style & Co.,XS,33.0
232,Style & Co.,S,35.0
233,Style & Co.,M,37.25
234,Style & Co.,L,40.25
235,Style & Co.,XL,43.0
236,FashionNova,XS,32.5
237,FashionNova,S,34.5
238,FashionNova,M,36.5
239,FashionNova,L,39.25
240,FashionNova,XL,41.5
